Datum;Morgen Kommen;Morgen Gehen;Mittag Kommen;Abend Gehen;Arbeitszeit;Sollzeit;Differenz;Feiertag
Di 25.11.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 26.11.2025;;;;;00:00;08:24;08:24 Fehl;
Do 27.11.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 28.11.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 29.11.2025;;;;;00:00;00:00;00:00 ;
So 30.11.2025;;;;;00:00;00:00;00:00 ;
Mo 01.12.2025;;;;;00:00;08:24;08:24 Fehl;
Di 02.12.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 03.12.2025;;;;;00:00;08:24;08:24 Fehl;
Do 04.12.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 05.12.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 06.12.2025;;;;;00:00;00:00;00:00 ;
So 07.12.2025;;;;;00:00;00:00;00:00 ;
Mo 08.12.2025;;;;;00:00;00:00;00:00 ;Mariä Empfängnis (bezahlt)
Di 09.12.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 10.12.2025;;;;;00:00;08:24;08:24 Fehl;
Do 11.12.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 12.12.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 13.12.2025;;;;;00:00;00:00;00:00 ;
So 14.12.2025;;;;;00:00;00:00;00:00 ;
Mo 15.12.2025;;;;;00:00;08:24;08:24 Fehl;
Di 16.12.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 17.12.2025;;;;;00:00;08:24;08:24 Fehl;
Do 18.12.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 19.12.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 20.12.2025;;;;;00:00;00:00;00:00 ;
So 21.12.2025;;;;;00:00;00:00;00:00 ;
Mo 22.12.2025;;;;;00:00;08:24;08:24 Fehl;
Di 23.12.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 24.12.2025;;;;;00:00;08:24;08:24 Fehl;
Do 25.12.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 26.12.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 27.12.2025;;;;;00:00;00:00;00:00 ;
So 28.12.2025;;;;;00:00;00:00;00:00 ;
Mo 29.12.2025;;;;;00:00;08:24;08:24 Fehl;
Di 30.12.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 31.12.2025;;;;;00:00;08:24;08:24 Fehl;
;;;Arbeitszeit;;17:28;2158:48;-2141:20;
;;;Industriezeit;;17.47;2158.80;-2141.33;
